item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q36236,Malayalam,Dravidian language of India
http://www.wikidata.org/entity/Q33902,Saraiki,language
http://www.wikidata.org/entity/Q56593,Levantine Arabic,A major variety of Arabic spoken in the Levant
http://www.wikidata.org/entity/Q11732069,Q11732069,
http://www.wikidata.org/entity/Q2669169,Kristang,creole language spoken by the Kristang people
http://www.wikidata.org/entity/Q846157,Shirvani Arabic,dialect of Arabic once spoken in northern Azerbaijan and Dagestan
http://www.wikidata.org/entity/Q850493,Siculish,phenomenon of sicilianization of words and sentences in English in the United States
http://www.wikidata.org/entity/Q33779,Saramaccan,creole spoken near the Saramacca and Suriname rivers
http://www.wikidata.org/entity/Q35785,Macanese Patois,Portuguese-based creole spoken originally in Macau
http://www.wikidata.org/entity/Q6744930,Maltralian,dialect of Maltese
http://www.wikidata.org/entity/Q33049,Balochi,northwestern Iranian language
http://www.wikidata.org/entity/Q35390,Asturleonese,language
http://www.wikidata.org/entity/Q33202,Brahui,"Dravidian language spoken by Brahui people of Pakistan, Afghanistan and Iran, and expatriate communities in Qatar, United Arab Emirates, and Iraq"
http://www.wikidata.org/entity/Q36388,Nubi,Sudanese Arabic-based creole language
http://www.wikidata.org/entity/Q9217,Thai,language spoken by Thai people
http://www.wikidata.org/entity/Q42365,Old English,earliest historical form of English
http://www.wikidata.org/entity/Q1815830,Negerhollands,Dutch-based creole language of the Danish West Indies
http://www.wikidata.org/entity/Q4901287,Bhariati,language of the Indian subcontinent
http://www.wikidata.org/entity/Q4356243,Mag-antsi,language of the Sambalic subgroup
http://www.wikidata.org/entity/Q7737,Russian,East Slavic language
http://www.wikidata.org/entity/Q3110592,written Chinese language,"overview of writing varieties of Chinese, unified in Qin dynasty"
http://www.wikidata.org/entity/Q1262143,Juba Arabic,lingua franca spoken in South Sudan
http://www.wikidata.org/entity/Q3537122,Sri Lankan Portuguese Creole,Portuguese-based creole spoken in Sri Lanka
http://www.wikidata.org/entity/Q4419262,Sillan,Koreanic language
http://www.wikidata.org/entity/Q32730,Dogri,Indo-Aryan language spoken in India and Pakistan
