item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q320320,Q320320,
http://www.wikidata.org/entity/Q481250,Q481250,
http://www.wikidata.org/entity/Q484876,chief executive officer,highest-ranking corporate officer
http://www.wikidata.org/entity/Q619851,gunfighter,a person able to shoot quickly and accurately with a gun
http://www.wikidata.org/entity/Q694116,miller,person who operates a mill
http://www.wikidata.org/entity/Q488111,pornographic actor,person who performs sex acts in pornographic films
http://www.wikidata.org/entity/Q484260,guru,"teacher, expert, counsellor, spiritual guide, often in Hindu, Jain, Buddist or Sikh traditions"
http://www.wikidata.org/entity/Q599898,cacique,Hispanic term for indigenous American chief
http://www.wikidata.org/entity/Q696948,kisaeng,"enslaved women who worked to entertain others, such as yangbans and kings, during the Goryeo and Joseon dynasties"
http://www.wikidata.org/entity/Q388618,hospital pharmacy,department within a hospital
http://www.wikidata.org/entity/Q520548,encomendero,
http://www.wikidata.org/entity/Q419722,overlord,lord of a tenant
http://www.wikidata.org/entity/Q589298,editor-in-chief,publication's editorial leader
http://www.wikidata.org/entity/Q465288,referendary,a number of administrative positions in Europe
http://www.wikidata.org/entity/Q363802,doctoral advisor,university faculty member who supervises the doctoral research of a graduate student
http://www.wikidata.org/entity/Q372646,mental calculator,person with a prodigious ability in some area of mental calculation
http://www.wikidata.org/entity/Q484188,serial killer,individual who has killed three or more people over a period of more than a month
http://www.wikidata.org/entity/Q627754,Mormon missionary,missionary of the Church of Jesus Christ of Latter-day Saints
http://www.wikidata.org/entity/Q437470,personal care assistant,occupation
http://www.wikidata.org/entity/Q464705,domestic worker,staff employed in a private household
http://www.wikidata.org/entity/Q497240,master of ceremonies,official host of a staged event or similar performance
http://www.wikidata.org/entity/Q369456,camp follower,civilian who follows an army
http://www.wikidata.org/entity/Q587524,bell-ringer,person that plays bells
http://www.wikidata.org/entity/Q625369,mistress,"female who is in a sexual relationship, where the other or both parties to the relationship are also in another committed relationship (usually marriage)"
http://www.wikidata.org/entity/Q650012,engineer of the French Corps of Bridges and Roads,"specialized profession, also designates members of the former French Corps of Bridges and Roads"
http://www.wikidata.org/entity/Q662729,public figure,famous person who is often written about in newspapers and magazines or is often on television or the radio
http://www.wikidata.org/entity/Q674067,mime artist,someone who uses mime as a theatrical medium or in performance art
http://www.wikidata.org/entity/Q674426,curator,content specialist charged with an institution's collections and involved with the interpretation of heritage material
http://www.wikidata.org/entity/Q388513,Thai boxer,profession
http://www.wikidata.org/entity/Q656823,in-home tutor,educator at home
http://www.wikidata.org/entity/Q691522,construction foreman,worker or tradesman who is in charge of a construction crew
http://www.wikidata.org/entity/Q695521,professional hunter,person who hunts and/or manages game by profession
http://www.wikidata.org/entity/Q381160,expert,person with broad and profound competence in a particular field
http://www.wikidata.org/entity/Q703534,employee,person who works for an employer
http://www.wikidata.org/entity/Q694748,physiotherapist,"primary care specialty that remediates impairments and promotes mobility, function, and quality of life through examination"
http://www.wikidata.org/entity/Q583271,medium,person said to mediate communication between spirits of the dead and other human beings
http://www.wikidata.org/entity/Q483501,artist,person who engages in any form of artistic creation or practice
http://www.wikidata.org/entity/Q537098,fiduciary,person who takes care of money for another person or organization
http://www.wikidata.org/entity/Q338507,dog behaviourist,
http://www.wikidata.org/entity/Q703310,vote captain,
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings own songs"
http://www.wikidata.org/entity/Q381136,shareholder,individual or organization that owns part of a corporation through shares of its stock
http://www.wikidata.org/entity/Q382887,chinovnik,Russian title for a person having a rank and serving in the civil or court service
http://www.wikidata.org/entity/Q388338,treasurer,person responsible for running the treasury of an organization
http://www.wikidata.org/entity/Q639669,musician,"person who composes, conducts or performs music"
http://www.wikidata.org/entity/Q376924,courtesan,prostitute or mistress
http://www.wikidata.org/entity/Q498642,speech-to-text reporter,human occupation
http://www.wikidata.org/entity/Q486748,pianist,musician who plays the piano
http://www.wikidata.org/entity/Q373017,basketry,weaving of pliable materials to make three-dimensional artifacts
http://www.wikidata.org/entity/Q476246,sailor,person who participates in the sport of sailing
